state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
"UTTAR PRADESH",9,MAU,168,3,50075,151,50229
"UTTAR PRADESH",9,MORADABAD,171,28,87781,701,88510
"UTTAR PRADESH",9,RAMPUR,176,31,47561,396,47988
"UTTAR PRADESH",9,SHAHJAHANPUR,180,27,45137,449,45613
"UTTAR PRADESH",9,UNNAO,186,13,39465,245,39723
UTTARAKHAND,5,NAINITAL,51,16,40480,462,40958
"WEST BENGAL",19,"DAKSHIN DINAJPUR",310,4,26957,169,27130
"WEST BENGAL",19,HOWRAH,313,95,113199,1796,115090
"WEST BENGAL",19,KALIMPONG,702,1,6717,13,6731
"WEST BENGAL",19,"PURBA BARDHAMAN",306,27,93085,996,94108
DELHI,7,EAST,78,201,99365,2678,102244
DELHI,7,NORTH,80,219,63168,2782,66169
DELHI,7,"NORTH EAST",81,64,69910,920,70894
DELHI,7,"NORTH WEST",82,503,173307,5437,179247
DELHI,7,SHAHDARA,671,27,20057,370,20454
DELHI,7,WEST,85,252,135458,3163,138873
LADAKH,37,KARGIL,6,0,5167,24,5191
PUDUCHERRY,34,PONDICHERRY,600,49,46567,525,47141
"ANDHRA PRADESH",28,"Alluri Sitharama Raju",745,1,7289,7,7297
"ANDHRA PRADESH",28,Bapatla,750,1,38346,123,38470
"ANDHRA PRADESH",28,Nandyal,755,6,56308,184,56498
"ANDHRA PRADESH",28,PRAKASAM,517,25,76343,757,77125
"ANDHRA PRADESH",28,"SPSR NELLORE",515,56,100228,1095,101379
"ANDHRA PRADESH",28,VIZIANAGARAM,521,18,52239,349,52606
